token,n_families,source_families,accept_path
passives,3,cpc_y02|wikidata|egss,variant_of:passive
photovoltaic,5,cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
photovoltaics,2,cpc_y02|wikidata,vote
phytofuel,1,wikidata,atom
phytofuels,1,wikidata,variant_of:phytofuel
plastic,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:plastics
plastics,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
plogging,1,wikidata,atom
ploggings,1,wikidata,variant_of:plogging
point,4,gemet|cpc_y02|wikidata|eu_reg,vote
points,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:point
pollastic,1,wikidata,atom
pollastics,1,wikidata,variant_of:pollastic
power,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
powers,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:power
pressure,4,gemet|cpc_y02|wikidata|egss,vote
pressures,4,gemet|cpc_y02|wikidata|egss,variant_of:pressure
processing,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
processings,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:processing
recovery,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
recoverys,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:recovery
recycle,1,wikidata,atom
recycles,1,wikidata,variant_of:recycle
rendering,1,wikidata,atom
renderings,1,wikidata,variant_of:rendering
ressourcerie,1,wikidata,variant_of:ressourceries
ressourceries,1,wikidata,atom
restoration,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
restorations,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:restoration
reuse,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
reuses,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:reuse
rubber,4,gemet|cpc_y02|wikidata|egss,vote
rubbers,4,gemet|cpc_y02|wikidata|egss,variant_of:rubber
scrap,2,gemet|wikidata,atom
scrapped,1,wikidata,atom
scrappeds,1,wikidata,variant_of:scrapped
scrapping,1,wikidata,atom
scrappings,1,wikidata,variant_of:scrapping
scraps,2,gemet|wikidata,variant_of:scrap
scuttling,1,wikidata,atom
scuttlings,1,wikidata,variant_of:scuttling
seaweed,2,cpc_y02|wikidata,vote
seaweeds,2,cpc_y02|wikidata,variant_of:seaweed
sewage,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
sewages,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:sewage
solar,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
solars,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:solar
solid,4,gemet|cpc_y02|wikidata|eu_reg,vote
solids,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:solid
source,4,cpc_y02|wikidata|egss|eu_reg,variant_of:sources
sources,4,cpc_y02|wikidata|egss|eu_reg,vote
state,4,gemet|cpc_y02|wikidata|eu_reg,vote
sugar,3,gemet|cpc_y02|wikidata,vote
sugars,3,gemet|cpc_y02|wikidata,variant_of:sugar
supply,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
supplys,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:supply
surface,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
surfaces,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:surface
temperature,3,gemet|cpc_y02|wikidata,vote
temperatures,3,gemet|cpc_y02|wikidata,variant_of:temperature
textile,3,gemet|cpc_y02|wikidata,vote
textiles,3,gemet|cpc_y02|wikidata,variant_of:textile
thermal,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
thermals,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:thermal
treatment,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
treatments,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:treatment
turbine,3,gemet|cpc_y02|wikidata,vote
turbines,3,gemet|cpc_y02|wikidata,variant_of:turbine
upcycling,1,wikidata,atom
upcyclings,1,wikidata,variant_of:upcycling
upcyklace,1,wikidata,atom
upcyklaces,1,wikidata,variant_of:upcyklace
urban,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
urbans,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:urban
variable,2,cpc_y02|wikidata,vote
variables,2,cpc_y02|wikidata,variant_of:variable
vehicle,3,gemet|cpc_y02|wikidata,vote
vehicles,3,gemet|cpc_y02|wikidata,variant_of:vehicle
wastewater,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
wastewaters,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:wastewater
wave,3,gemet|cpc_y02|wikidata,vote
waves,3,gemet|cpc_y02|wikidata,variant_of:wave
wind,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
winds,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:wind
wood,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
woods,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:wood
